Area Type,Area Name (County Names),Period,Series Code,Industry Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,60561000,Administrative and Support Services,56100,58200,2100,0.037
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,60561300,Employment Services,18100,19300,1200,0.066
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,60561600,Investigation and Security Services,10500,11200,700,0.067
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,60561700,Services to Buildings and Dwellings,14200,15000,800,0.056
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",138900,166700,27800,0.2
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,65610000,Educational Services (Private),28200,34400,6200,0.22
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,65611300,"Colleges, Universities, and Professional Schools",10100,14000,3900,0.386
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,65620000,Health Care and Social Assistance,110700,132300,21600,0.195
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,65621000,Ambulatory Health Care Services,37500,42000,4500,0.12
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,65622000,Hospitals (Private),15100,15800,700,0.046
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,65623000,Nursing and Residential Care Facilities,10100,11400,1300,0.129
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,65624000,Social Assistance,47900,63100,15200,0.317
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,70000000,Leisure and Hospitality,143600,161600,18000,0.125
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,70710000,"Arts, Entertainment, and Recreation",20200,23000,2800,0.139
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,70711000,"Performing Arts, Spectator Sports, and Related Industries",6100,6800,700,0.115
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,70720000,Accommodation and Food Services,123400,138600,15200,0.123
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,70721000,Accommodation,24900,21800,-3100,-0.124
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,70722000,Food Services and Drinking Places,98500,116700,18200,0.185
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,70722300,Special Food Services,11400,11100,-300,-0.026
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,70722500,Restaurants and Other Eating Places,82000,99400,17400,0.212
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),41400,43600,2200,0.053
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,80812000,Personal and Laundry Services,15700,17100,1400,0.089
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,80813000,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",19800,20700,900,0.045
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,90000000,Government,131400,135100,3700,0.028
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,90910000,Federal Government,16900,14700,-2200,-0.13
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,90940000,State and Local Government,114500,120400,5900,0.052
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,90920000,State Government,37000,44000,7000,0.189
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,90921611,State Government Education,23300,29800,6500,0.279
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,90922000,State Government Excluding Education,13700,14200,500,0.036
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,90930000,Local Government,77500,76400,-1100,-0.014
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,90931611,Local Government Education,26900,26000,-900,-0.033
Metropolitan Area,San Francisco-Redwood City-South San Francisco MD (San Francisco and San Mateo Counties),2018-2028,90932000,Local Government Excluding Education,50600,50400,-200,-0.004
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,000001,Total Employment,1205500,1302100,96600,0.08
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,006010,Self Employment,71100,76300,5200,0.073
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,008010,Private Household Workers,2100,1900,-200,-0.095
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,11000000,Total Farm,5800,5600,-200,-0.034
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,0,Total Nonfarm,1126500,1218300,91800,0.081
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,10000000,Mining and Logging,200,200,0,0
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,20000000,Construction,49900,53900,4000,0.08
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,20238000,Specialty Trade Contractors,35800,38200,2400,0.067
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,20238200,Building Equipment Contractors,16600,18300,1700,0.102
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,30000000,Manufacturing,172100,170800,-1300,-0.008
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,31000000,Durable Goods Manufacturing,158700,157800,-900,-0.006
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,31333000,Machinery Manufacturing,10500,10900,400,0.038
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,31334000,Computer and Electronic Product Manufacturing,117700,118800,1100,0.009
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,31334100,Computer and Peripheral Equipment Manufacturing,53000,59200,6200,0.117
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,31334400,Semiconductor and Other Electronic Component Manufacturing,41500,37100,-4400,-0.106
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,31334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",15200,16000,800,0.053
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,31336000,Transportation Equipment Manufacturing,6400,5800,-600,-0.094
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,31336400,Aerospace Product and Parts Manufacturing,4700,4300,-400,-0.085
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,32000000,Nondurable Goods Manufacturing,13400,13000,-400,-0.03
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,40000000,"Trade, Transportation, and Utilities",133800,136200,2400,0.018
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,41000000,Wholesale Trade,32200,32200,0,0
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,41423000,"Merchant Wholesalers, Durable Goods",22700,22900,200,0.009
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,42000000,Retail Trade,85700,86300,600,0.007
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,42443000,Electronics and Appliance Stores,4400,4000,-400,-0.091
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,42444000,Building Material and Garden Equipment and Supplies Dealers,5700,5900,200,0.035
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,42445000,Food and Beverage Stores,17500,18600,1100,0.063
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,42446000,Health and Personal Care Stores,5100,5400,300,0.059
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,42448000,Clothing and Clothing Accessories Stores,11800,10600,-1200,-0.102
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,42452000,General Merchandise Stores,13900,14100,200,0.014
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,43000000,"Transportation, Warehousing, and Utilities",15800,17700,1900,0.12
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,43400089,Transportation and Warehousing,14200,16500,2300,0.162
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,43492000,Couriers and Messengers,4000,5200,1200,0.3
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,50000000,Information,92200,110000,17800,0.193
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,50511000,Publishing Industries (except Internet),32200,38500,6300,0.196
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,50517000,Telecommunications,5700,5300,-400,-0.07
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,55000000,Financial Activities,36700,38500,1800,0.049
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,55520000,Finance and Insurance,21600,22800,1200,0.056
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,55522000,Credit Intermediation and Related Activities,12100,12500,400,0.033
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,55530000,Real Estate and Rental and Leasing,15200,15700,500,0.033
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,55531000,Real Estate,12500,13200,700,0.056
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,60000000,Professional and Business Services,237000,262800,25800,0.109
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,60540000,"Professional, Scientific, and Technical Services",158000,178000,20000,0.127
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,60541300,"Architectural, Engineering, and Related Services",17400,18100,700,0.04
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,60541500,Computer Systems Design and Related Services,86900,99700,12800,0.147
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,60541700,Scientific Research and Development Services,19200,22400,3200,0.167
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,60550000,Management of Companies and Enterprises,16900,17500,600,0.036
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,60560000,Administrative and Support and Waste Management and Remediation Services,62100,67300,5200,0.084
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,60561000,Administrative and Support Services,59100,64000,4900,0.083
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,60561300,Employment Services,23300,25400,2100,0.09
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",173400,201000,27600,0.159
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,65610000,Educational Services (Private),47700,55600,7900,0.166
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,65611300,"Colleges, Universities, and Professional Schools",30700,36000,5300,0.173
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,65620000,Health Care and Social Assistance,125600,145400,19800,0.158
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,65621000,Ambulatory Health Care Services,41800,48300,6500,0.156
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,65622000,Hospitals (Private),29200,31800,2600,0.089
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,65623000,Nursing and Residential Care Facilities,13700,16200,2500,0.182
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,65624000,Social Assistance,40900,49100,8200,0.2
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,70000000,Leisure and Hospitality,105700,115500,9800,0.093
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,70720000,Accommodation and Food Services,90000,98700,8700,0.097
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,70721000,Accommodation,9500,9800,300,0.032
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,70722000,Food Services and Drinking Places,80600,88900,8300,0.103
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,70722500,Restaurants and Other Eating Places,68900,78100,9200,0.134
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),28900,29800,900,0.031
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,90000000,Government,96700,99600,2900,0.03
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,90910000,Federal Government,9900,9900,0,0
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,90940000,State and Local Government,86800,89700,2900,0.033
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,90920000,State Government,7100,7600,500,0.07
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,90921611,State Government Education,5200,5600,400,0.077
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,90922000,State Government Excluding Education,1900,2000,100,0.053
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,90930000,Local Government,79700,82100,2400,0.03
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,90931611,Local Government Education,41200,42100,900,0.022
Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA (San Benito and Santa Clara Counties),2018-2028,90932000,Local Government Excluding Education,38600,40000,1400,0.036
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,000001,Total Employment,132000,144600,12600,0.095
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,006010,Self Employment,8800,9500,700,0.08
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,008010,Private Household Workers,200,200,0,0
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,11000000,Total Farm,5200,5900,700,0.135
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,0,Total Nonfarm,117800,129000,11200,0.095
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,15000000,"Mining, Logging, and Construction",7900,8800,900,0.114
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,30000000,Manufacturing,7700,8800,1100,0.143
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,31000000,Durable Goods Manufacturing,3200,3500,300,0.094
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,32000000,Nondurable Goods Manufacturing,4500,5300,800,0.178
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,40000000,"Trade, Transportation, and Utilities",20900,21600,700,0.033
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,41000000,Wholesale Trade,2700,2800,100,0.037
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,42000000,Retail Trade,14300,14300,0,0
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",3900,4500,600,0.154
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,50000000,Information,1300,1600,300,0.231
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,55000000,Financial Activities,3900,4100,200,0.051
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,55520000,Finance and Insurance,2300,2300,0,0
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,55530000,Real Estate and Rental and Leasing,1600,1800,200,0.125
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,60000000,Professional and Business Services,10800,11600,800,0.074
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",17700,21300,3600,0.203
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,70000000,Leisure and Hospitality,19200,22200,3000,0.156
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,70720000,Accommodation and Food Services,17600,20300,2700,0.153
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,70721000,Accommodation,4400,5300,900,0.205
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,70722000,Food Services and Drinking Places,13200,15000,1800,0.136
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),4000,4400,400,0.1
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,90000000,Government,24300,24600,300,0.012
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,90910000,Federal Government,500,600,100,0.2
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,90940000,State and Local Government,23800,24000,200,0.008
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,90920000,State Government,10800,10700,-100,-0.009
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,90921611,State Government Education,5200,5300,100,0.019
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,90922000,State Government Excluding Education,5600,5400,-200,-0.036
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,90930000,Local Government,13100,13300,200,0.015
Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA (San Luis Obispo County),2018-2028,90932000,Local Government Excluding Education,5000,5100,100,0.02
Metropolitan Area,San Rafael MD (Marin County),2018-2028,000001,Total Employment,127100,135300,8200,0.065
Metropolitan Area,San Rafael MD (Marin County),2018-2028,006010,Self Employment,9800,10400,600,0.061
Metropolitan Area,San Rafael MD (Marin County),2018-2028,008010,Private Household Workers,700,500,-200,-0.286
Metropolitan Area,San Rafael MD (Marin County),2018-2028,11000000,Total Farm,300,400,100,0.333
Metropolitan Area,San Rafael MD (Marin County),2018-2028,0,Total Nonfarm,116300,124000,7700,0.066
Metropolitan Area,San Rafael MD (Marin County),2018-2028,20000000,Construction,7700,8800,1100,0.143
Metropolitan Area,San Rafael MD (Marin County),2018-2028,30000000,Manufacturing,5100,5000,-100,-0.02
Metropolitan Area,San Rafael MD (Marin County),2018-2028,40000000,"Trade, Transportation, and Utilities",18600,18700,100,0.005
Metropolitan Area,San Rafael MD (Marin County),2018-2028,41000000,Wholesale Trade,2400,2400,0,0
Metropolitan Area,San Rafael MD (Marin County),2018-2028,42000000,Retail Trade,14800,14900,100,0.007
Metropolitan Area,San Rafael MD (Marin County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",1300,1400,100,0.077
Metropolitan Area,San Rafael MD (Marin County),2018-2028,50000000,Information,2700,2900,200,0.074
Metropolitan Area,San Rafael MD (Marin County),2018-2028,55000000,Financial Activities,5600,5500,-100,-0.018
Metropolitan Area,San Rafael MD (Marin County),2018-2028,60000000,Professional and Business Services,17700,18800,1100,0.062
Metropolitan Area,San Rafael MD (Marin County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",21000,25200,4200,0.2
Metropolitan Area,San Rafael MD (Marin County),2018-2028,70000000,Leisure and Hospitality,16200,17800,1600,0.099
Metropolitan Area,San Rafael MD (Marin County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),5700,5800,100,0.018
Metropolitan Area,San Rafael MD (Marin County),2018-2028,90000000,Government,16200,15500,-700,-0.043
Metropolitan Area,San Rafael MD (Marin County),2018-2028,90910000,Federal Government,700,700,0,0
Metropolitan Area,San Rafael MD (Marin County),2018-2028,90940000,State and Local Government,15300,14800,-500,-0.033
Metropolitan Area,San Rafael MD (Marin County),2018-2028,90920000,State Government,2000,1900,-100,-0.05
Metropolitan Area,San Rafael MD (Marin County),2018-2028,90930000,Local Government,13300,12900,-400,-0.03
Metropolitan Area,San Rafael MD (Marin County),2018-2028,90931611,Local Government Education,5700,5400,-300,-0.053
Metropolitan Area,San Rafael MD (Marin County),2018-2028,90932000,Local Government Excluding Education,7600,7500,-100,-0.013
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,000001,Total Employment,119600,128000,8400,0.07
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,006010,Self Employment,8900,9000,100,0.011
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,008010,Private Household Workers,300,200,-100,-0.333
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,11000000,Total Farm,7900,7500,-400,-0.051
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,0,Total Nonfarm,102500,111300,8800,0.086
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,15000000,"Mining, Logging, and Construction",4400,4800,400,0.091
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,30000000,Manufacturing,6900,7400,500,0.072
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,31000000,Durable Goods Manufacturing,3400,4100,700,0.206
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,32000000,Nondurable Goods Manufacturing,3400,3300,-100,-0.029
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,40000000,"Trade, Transportation, and Utilities",16800,17200,400,0.024
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,41000000,Wholesale Trade,3400,3500,100,0.029
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,42000000,Retail Trade,11800,12000,200,0.017
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,43000000,"Transportation, Warehousing, and Utilities",1600,1700,100,0.063
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,50000000,Information,700,700,0,0
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,55000000,Financial Activities,3600,3700,100,0.028
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,55520000,Finance and Insurance,2000,2100,100,0.05
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,55530000,Real Estate and Rental and Leasing,1600,1600,0,0
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,60000000,Professional and Business Services,10700,11700,1000,0.093
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,65000000,"Educational Services (Private), Health Care, and Social Assistance",17800,21000,3200,0.18
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,70000000,Leisure and Hospitality,14500,15700,1200,0.083
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,70710000,"Arts, Entertainment, and Recreation",2500,2600,100,0.04
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,70720000,Accommodation and Food Services,12000,13100,1100,0.092
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,80000000,Other Services (excludes 814-Private Household Workers),5300,5500,200,0.038
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,90000000,Government,22000,23600,1600,0.073
Metropolitan Area,Santa Cruz-Watsonville MSA (Santa Cruz County),2018-2028,90910000,Federal Government,500,600,100,0.2
